Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
Kate Ryan,ELLA ELLE L'A,57,184693,Free,0.56,0.00283,0.861,0.229,-4.383,0.561,124.917,0.033,56,"belgian pop, eurodance",90513,Unknown,Kate Ryan - ELLA ELLE L'A,5576
Kid Rock,ALL SUMMER LONG,71,297586,Rock n Roll Jesus,0.7,0.0212,0.864,0.0956,-3.629,0.887,102.997,0.0283,68,nu metal,2767203,Unknown,Kid Rock - ALL SUMMER LONG,5577
Armin van Buuren feat. Sharon Den Adel,IN AND OUT OF LOVE,61,226621,In And Out Of Love,0.355,0.201,0.777,0.211,-6.811,0.038,122.324,0.0413,68,,55412,Unknown,Armin van Buuren feat. Sharon Den Adel - IN AND OUT OF LOVE,5578
Madonna,GIVE IT 2 ME,37,287906,Hard Candy,0.837,0.0933,0.954,0.143,-3.512,0.972,127.019,0.0414,81,"dance pop, pop",8191757,Unknown,Madonna - GIVE IT 2 ME,5579
Lionel Richie & Trijntje Oosterhuis,FACE IN THE CROWD,33,261666,Just Go,0.552,0.0348,0.711,0.132,-6.727,0.194,95.063,0.034,71,soft rock,3897895,Unknown,Lionel Richie & Trijntje Oosterhuis - FACE IN THE CROWD,5580
No Tone,DOWN DOWN DOWN,5,148900,Long Way From The Eastside,0.916,0.0936,0.434,0.111,-10.318,0.159,116.046,0.0837,8,,732,Unknown,No Tone - DOWN DOWN DOWN,5581
Keane,SPIRALLING,27,259160,Perfect Symmetry,0.632,0.0182,0.917,0.134,-4.303,0.54,111.994,0.0543,76,"neo mellow, piano rock, pop rock",3557930,Unknown,Keane - SPIRALLING,5582
R.I.O.,SHINE ON,53,203382,Shine On (The Album),0.61,0.0416,0.835,0.26,-5.306,0.395,127.904,0.0748,58,german dance,251092,Unknown,R.I.O. - SHINE ON,5583
Alicia Keys,SUPERWOMAN,50,274106,As I Am (Expanded Edition),0.408,0.266,0.494,0.11,-8.291,0.135,161.701,0.0475,81,"neo soul, pop, r&b",12226583,Unknown,Alicia Keys - SUPERWOMAN,5584
Mika,LOVE TODAY,48,235173,Life in Cartoon Motion,0.67,0.0365,0.909,0.11,-4.95,0.543,124.459,0.0671,67,electropop,1402267,Unknown,Mika - LOVE TODAY,5585
Amy Macdonald,THIS IS THE LIFE,74,184413,This Is The Life (eDeluxe),0.628,0.259,0.882,0.065,-5.024,0.853,95.083,0.0323,63,scottish singer-songwriter,505520,Unknown,Amy Macdonald - THIS IS THE LIFE,5586
Robin Thicke,MAGIC,44,233226,Something Else,0.737,0.251,0.624,0.101,-6.487,0.651,107.959,0.0398,64,"dance pop, neo soul, pop rap, r&b, urban contemporary",1954385,Unknown,Robin Thicke - MAGIC,5587
Maroon 5 (feat. Rihanna),IF I NEVER SEE YOUR FACE AGAIN,23,198413,If I Never See Your Face Again,0.767,0.00408,0.807,0.117,-3.066,0.902,106.008,0.0389,87,pop,43214578,Unknown,Maroon 5 (feat. Rihanna) - IF I NEVER SEE YOUR FACE AGAIN,5588
Jan Smit,STILTE IN DE STORM,37,196186,Stilte In De Storm,0.46,0.0148,0.85,0.292,-5.152,0.506,123.039,0.049,57,"dutch pop, dutch rock, kermis, levenslied",220185,Unknown,Jan Smit - STILTE IN DE STORM,5589
Alphabeat,FASCINATION,52,182120,This Is Alphabeat,0.495,0.00027,0.878,0.07,-3.266,0.825,193.947,0.0361,43,"europop, metropopolis",55746,Unknown,Alphabeat - FASCINATION,5590
Cascada,WHAT HURTS THE MOST,46,218586,Perfect Day,0.579,0.00991,0.981,0.515,-7.433,0.276,142.025,0.0994,68,"eurodance, europop, german techno, melbourne bounce international",554362,Unknown,Cascada - WHAT HURTS THE MOST,5591
