Jaar,Weeknr,Deze_week,Artiest,Titel,Vorige_week,Aantal_weken,Status,Id,Artist_Song,Song_ID
2023	49	35	Bebe Rexha & David Guetta	ONE IN A MILLION	30	18		20233236
2023	49	36	Bankzitters	CUPIDO	26	3		20234727
2023	49	37	Chef'Special	MIRACLES	37	17		20233335
2023	49	38	P!nk	ALL OUT OF FIGHT	0	1	NIEUW	20234938
2023	49	39	Post Malone	ENOUGH IS ENOUGH	36	8		20234239
2023	49	40	Ed Sheeran	AMERICAN TOWN	34	6		20234439
2023	48	1	Tate McRae	GREEDY	1	11		20233817
2023	48	2	Teddy Swims	LOSE CONTROL	2	15		20233433
2023	48	3	Cass�, Raye & D-Block Europe	PRADA	3	15		20233438
2023	48	4	Kris Kross Amsterdam, Sera x Conor Maynard	STAY (NEVER LEAVE)	7	8		20234131
2023	48	5	Douwe Bob	THIS WORLD IS OUR HOME	5	13		20233638
2023	48	6	Dua Lipa	HOUDINI	12	3		20234623
2023	48	7	Calvin Harris & Sam Smith	DESIRE	6	18		20233133
2023	48	8	Kenya Grace	STRANGERS	4	12		20233737
2023	48	9	Son Mieux	TONIGHT	10	7		20234229
2023	48	10	Anne-Marie feat. Shania Twain	UNHEALTHY	8	20		20232932
2023	48	11	Suzan & Freek & Claude	VAS-Y (GA MAAR)	9	12		20233715
2023	48	12	Ofenbach feat. Norma Jean Martine	OVERDRIVE	14	6		20234335
2023	48	13	Racoon	NICKEL FOR GOODBYE	13	10		20233938
2023	48	14	Noah Kahan	STICK SEASON	16	4		20234532
2023	48	15	Taylor Swift	CRUEL SUMMER	11	11		20233838
2023	48	16	Roxy Dekker	SATISFYER	25	3		20234635
2023	48	17	Marshmello, P!nk & Sting	DREAMING	18	6		20234330
2023	48	18	Kevin feat. S10	DE LEVEN	22	3		20234631
2023	48	19	Alok, The Chainsmokers & Mae Stephens	JUNGLE	21	9		20234028
2023	48	20	Zo� Tauran	MONSTER	15	5		20234433
2023	48	21	David Guetta & Kim Petras	WHEN WE WERE YOUNG (THE LOGICAL SONG)	29	2		20234729
2023	48	22	Nothing But Thieves	OVERCOME	20	29		20232032
2023	48	23	I�igo Quintero	SI NO EST�S	19	8		20234132
2023	48	24	Flemming & Boef	CHAMPIONS LEAGUE	33	3		20234637
2023	48	25	Alok & Ava Max	CAR KEYS (AYLA)	23	22		20232739
2023	48	26	Bankzitters	CUPIDO	27	2		20234727
2023	48	27	Lost Frequencies	THE FEELING	17	21		20232837
2023	48	28	Tate McRae	EXES	0	1	NIEUW	20234828
2023	48	29	Loreen	IS IT LOVE	26	5		20234436
2023	48	30	Bebe Rexha & David Guetta	ONE IN A MILLION	24	17		20233236
2023	48	31	Tino Martin & Mart Hoogkamer	HARTSLAG VAN DE STAD	30	8		20234136
2023	48	32	Nathan Dawe, Joel Corry & Ella Henderson	0800 HEAVEN	28	23		20232636
2023	48	33	Bennett	VOIS SUR TON CHEMIN - TECHNO MIX	31	9		20234032
2023	48	34	Ed Sheeran	AMERICAN TOWN	32	5		20234439
2023	48	35	Jack Harlow	LOVIN ON ME	0	1	NIEUW	20234835
2023	48	36	Post Malone	ENOUGH IS ENOUGH	35	7		20234239
2023	48	37	Chef'Special	MIRACLES	36	16		20233335
2023	48	38	Snelle	HOODIEDATE	40	2		20234740
2023	48	39	Dean Lewis	TRUST ME MATE	0	1	NIEUW	20234839
2023	48	40	Purple Disco Machine, Duke Dumont & Nothing But Thieves	SOMETHING ON MY MIND	37	7		20234238
2023	47	1	Tate McRae	GREEDY	1	10		20233817
2023	47	2	Teddy Swims	LOSE CONTROL	2	14		20233433
2023	47	3	Cass�, Raye & D-Block Europe	PRADA	3	14		20233438
2023	47	4	Kenya Grace	STRANGERS	4	11		20233737
2023	47	5	Douwe Bob	THIS WORLD IS OUR HOME	5	12		20233638
2023	47	6	Calvin Harris & Sam Smith	DESIRE	7	17		20233133
2023	47	7	Kris Kross Amsterdam, Sera x Conor Maynard	STAY (NEVER LEAVE)	12	7		20234131
2023	47	8	Anne-Marie feat. Shania Twain	UNHEALTHY	6	19		20232932
2023	47	9	Suzan & Freek & Claude	VAS-Y (GA MAAR)	8	11		20233715
2023	47	10	Son Mieux	TONIGHT	11	6		20234229
2023	47	11	Taylor Swift	CRUEL SUMMER	9	10		20233838
2023	47	12	Dua Lipa	HOUDINI	23	2		20234623
2023	47	13	Racoon	NICKEL FOR GOODBYE	14	9		20233938
2023	47	14	Ofenbach feat. Norma Jean Martine	OVERDRIVE	20	5		20234335
2023	47	15	Zo� Tauran	MONSTER	15	4		20234433
2023	47	16	Noah Kahan	STICK SEASON	25	3		20234532
2023	47	17	Lost Frequencies	THE FEELING	10	20		20232837
2023	47	18	Marshmello, P!nk & Sting	DREAMING	21	5		20234330
2023	47	19	I�igo Quintero	SI NO EST�S	17	7		20234132
2023	47	20	Nothing But Thieves	OVERCOME	19	28		20232032
2023	47	21	Alok, The Chainsmokers & Mae Stephens	JUNGLE	18	8		20234028
2023	47	22	Kevin feat. S10	DE LEVEN	31	2		20234631
2023	47	23	Alok & Ava Max	CAR KEYS (AYLA)	16	21		20232739
2023	47	24	Bebe Rexha & David Guetta	ONE IN A MILLION	13	16		20233236
2023	47	25	Roxy Dekker	SATISFYER	35	2		20234635
2023	47	26	Loreen	IS IT LOVE	26	4		20234436
2023	47	27	Bankzitters	CUPIDO	0	1	NIEUW	20234727
2023	47	28	Nathan Dawe, Joel Corry & Ella Henderson	0800 HEAVEN	22	22		20232636
2023	47	29	David Guetta & Kim Petras	WHEN WE WERE YOUNG (THE LOGICAL SONG)	0	1	NIEUW	20234729
2023	47	30	Tino Martin & Mart Hoogkamer	HARTSLAG VAN DE STAD	27	7		20234136
2023	47	31	Bennett	VOIS SUR TON CHEMIN - TECHNO MIX	24	8		20234032
2023	47	32	Ed Sheeran	AMERICAN TOWN	32	4		20234439
2023	47	33	Flemming & Boef	CHAMPIONS LEAGUE	37	2		20234637
2023	47	34	Tyla	WATER	28	7		20234135
2023	47	35	Post Malone	ENOUGH IS ENOUGH	33	6		20234239
2023	47	36	Chef'Special	MIRACLES	36	15		20233335
2023	47	37	Purple Disco Machine, Duke Dumont & Nothing But Thieves	SOMETHING ON MY MIND	34	6		20234238
2023	47	38	Dimitri Vegas & Like Mike x David Guetta x Afro Bros (with Akon)	SHE KNOWS	29	17		20233136
2023	47	39	Luke Combs	FAST CAR	30	12		20233633
2023	47	40	Snelle	HOODIEDATE	0	1	NIEUW	20234740
2023	46	1	Tate McRae	GREEDY	1	9		20233817
2023	46	2	Teddy Swims	LOSE CONTROL	2	13		20233433
2023	46	3	Cass�, Raye & D-Block Europe	PRADA	3	13		20233438
